"Date","Price","Open","High","Low","Vol","Change"
"04/16/2024","3,083.39","3,098.14","3,124.97","2,998.02","526.13K","-0.56%"
"04/15/2024","3,100.80","3,144.77","3,272.89","3,030.63","605.44K","-1.64%"
"04/14/2024","3,152.35","3,005.75","3,168.41","2,914.00","739.18K","4.94%"
"04/13/2024","3,004.06","3,237.14","3,296.56","2,862.97","993.70K","-7.28%"
"04/12/2024","3,240.01","3,501.41","3,551.21","3,151.00","697.17K","-7.49%"
"04/11/2024","3,502.52","3,543.27","3,615.15","3,479.21","338.15K","-1.20%"
"04/10/2024","3,545.11","3,502.53","3,560.00","3,419.11","389.46K","1.09%"
"04/09/2024","3,507.03","3,695.39","3,723.80","3,459.95","457.55K","-5.09%"
"04/08/2024","3,694.93","3,457.27","3,727.81","3,409.59","496.78K","6.97%"
"04/07/2024","3,454.19","3,351.76","3,459.46","3,344.90","210.54K","3.05%"
"04/06/2024","3,352.00","3,318.61","3,394.80","3,307.21","183.16K","1.03%"
"04/05/2024","3,317.86","3,325.95","3,344.20","3,212.88","344.56K","-0.29%"
"04/04/2024","3,327.40","3,310.84","3,435.39","3,254.39","356.33K","0.51%"
"04/03/2024","3,310.63","3,278.01","3,366.80","3,203.14","410.54K","1.00%"
"04/02/2024","3,278.00","3,504.41","3,505.40","3,216.53","623.21K","-6.42%"
"04/01/2024","3,502.80","3,643.43","3,645.00","3,421.99","409.07K","-3.96%"
"03/31/2024","3,647.07","3,505.38","3,652.88","3,505.09","243.27K","4.00%"
"03/30/2024","3,506.80","3,511.54","3,564.01","3,487.64","215.98K","-0.08%"
"03/29/2024","3,509.73","3,560.61","3,583.15","3,475.00","323.11K","-1.40%"
"03/28/2024","3,559.40","3,500.51","3,609.71","3,470.60","404.65K","1.69%"
"03/27/2024","3,500.41","3,587.95","3,661.83","3,462.43","443.21K","-2.43%"
"03/26/2024","3,587.49","3,592.52","3,677.31","3,544.39","499.00K","-0.09%"
"03/25/2024","3,590.81","3,456.73","3,651.20","3,421.07","548.58K","3.92%"
"03/24/2024","3,455.34","3,328.55","3,469.60","3,300.71","260.94K","3.67%"
"03/23/2024","3,332.90","3,333.48","3,430.00","3,275.81","323.87K","-0.04%"
"03/22/2024","3,334.13","3,497.49","3,541.59","3,254.49","558.72K","-4.54%"
"03/21/2024","3,492.84","3,517.79","3,582.90","3,413.53","602.75K","-0.62%"
"03/20/2024","3,514.66","3,156.74","3,531.19","3,063.51","1.21M","11.05%"
"03/19/2024","3,165.05","3,518.66","3,546.25","3,151.22","1.05M","-10.09%"
"03/18/2024","3,520.33","3,640.38","3,641.65","3,454.80","570.90K","-3.41%"
"03/17/2024","3,644.70","3,533.44","3,678.10","3,421.54","517.79K","3.43%"
"03/16/2024","3,523.70","3,742.55","3,778.62","3,476.98","548.29K","-5.81%"
"03/15/2024","3,741.19","3,885.84","3,931.39","3,591.16","947.59K","-3.62%"
"03/14/2024","3,881.70","4,005.79","4,009.95","3,729.43","648.24K","-3.06%"
"03/13/2024","4,004.35","3,982.49","4,078.63","3,936.02","482.29K","0.61%"
"03/12/2024","3,979.94","4,065.39","4,091.67","3,844.53","632.80K","-2.10%"
"03/11/2024","4,065.25","3,878.39","4,082.00","3,755.60","721.50K","4.82%"
"03/10/2024","3,878.46","3,908.91","3,962.01","3,793.70","356.81K","-0.68%"
"03/09/2024","3,905.21","3,883.87","3,941.53","3,872.94","254.82K","0.56%"
"03/08/2024","3,883.29","3,868.88","3,991.96","3,825.15","646.43K","0.35%"
"03/07/2024","3,869.87","3,820.12","3,933.05","3,736.25","541.01K","1.45%"
"03/06/2024","3,814.40","3,557.20","3,899.99","3,503.46","969.69K","7.27%"
"03/05/2024","3,555.91","3,626.55","3,820.49","3,235.32","1.39M","-1.95%"
"03/04/2024","3,626.60","3,487.97","3,638.59","3,445.56","715.33K","3.95%"
"03/03/2024","3,488.68","3,420.54","3,491.57","3,364.37","341.60K","1.99%"
"03/02/2024","3,420.67","3,433.89","3,460.03","3,395.03","284.06K","-0.37%"
"03/01/2024","3,433.54","3,342.62","3,449.64","3,339.80","412.77K","2.82%"
"02/29/2024","3,339.21","3,383.20","3,520.87","3,300.32","759.82K","-1.30%"
