source,price_date,price,open,high,low,close
BINANCE,20240101,2352.04,2281.79,2352.04,2266.71,NULL
BINANCE,20240102,2355.24,2348.09,2430.51,2347.59,NULL
BINANCE,20240103,2209.41,2355.70,2383.86,2122.71,NULL
BINANCE,20240104,2267.23,2208.40,2293.20,2202.96,NULL
BINANCE,20240105,2268.11,2267.99,2275.22,2207.36,NULL
BINANCE,20240106,2240.46,2268.80,2269.64,2217.00,NULL
BINANCE,20240107,2221.38,2240.69,2254.67,2209.42,NULL
BINANCE,20240108,2330.98,2221.00,2357.13,2167.39,NULL
BINANCE,20240109,2344.32,2331.54,2369.60,2228.58,NULL
BINANCE,20240110,2581.78,2344.82,2629.63,2342.28,NULL
BINANCE,20240111,2618.02,2585.32,2688.39,2567.57,NULL
BINANCE,20240112,2524.03,2620.13,2712.82,2463.16,NULL
BINANCE,20240113,2578.39,2522.83,2589.99,2498.42,NULL
BINANCE,20240114,2473.98,2577.44,2578.32,2470.21,NULL
BINANCE,20240115,2511.91,2474.53,2553.25,2472.72,NULL
BINANCE,20240116,2588.69,2512.00,2613.70,2501.02,NULL
BINANCE,20240117,2531.28,2588.49,2592.88,2510.00,NULL
BINANCE,20240118,2469.74,2530.62,2548.80,2430.94,NULL
BINANCE,20240119,2491.76,2469.22,2504.07,2418.48,NULL
BINANCE,20240120,2472.01,2491.63,2491.63,2455.00,NULL
BINANCE,20240121,2457.06,2472.01,2481.59,2453.45,NULL
BINANCE,20240122,2313.60,2458.11,2465.94,2304.00,NULL
BINANCE,20240123,2243.64,2314.11,2351.10,2169.59,NULL
BINANCE,20240124,2234.61,2240.68,2264.59,2198.93,NULL
BINANCE,20240125,2217.66,2234.10,2242.87,2173.83,NULL
BINANCE,20240126,2267.57,2218.05,2280.80,2195.85,NULL
BINANCE,20240127,2267.92,2267.82,2282.15,2252.32,NULL
BINANCE,20240128,2256.91,2267.30,2306.41,2240.09,NULL
BINANCE,20240129,2317.81,2255.22,2320.96,2237.67,NULL
BINANCE,20240130,2343.10,2317.60,2389.17,2298.86,NULL
BINANCE,20240131,2283.14,2342.82,2350.77,2266.83,NULL
BINANCE,20240201,2304.28,2283.95,2311.36,2240.60,NULL
BINANCE,20240202,2309.31,2304.56,2324.58,2282.89,NULL
BINANCE,20240203,2296.50,2309.33,2329.51,2293.07,NULL
BINANCE,20240204,2289.78,2296.08,2310.39,2271.99,NULL
BINANCE,20240205,2301.84,2289.27,2336.63,2271.32,NULL
BINANCE,20240206,2372.64,2301.84,2390.54,2299.24,NULL
BINANCE,20240207,2424.66,2372.66,2443.71,2354.44,NULL
BINANCE,20240208,2419.56,2425.67,2461.00,2411.97,NULL
BINANCE,20240209,2486.15,2420.81,2522.91,2419.16,NULL
BINANCE,20240210,2500.23,2488.13,2515.90,2472.91,NULL
BINANCE,20240211,2506.63,2500.35,2537.77,2493.76,NULL
BINANCE,20240212,2657.80,2507.30,2663.57,2473.52,NULL
