"source";"price_date";"price";"open";"high";"low";"close"
"CHAINLINK";20240409;3570.42;3693.1;3697.51;3460.38;3503.26
"CHAINLINK";20240408;3590.08;3453.2;3723.76;3419.44;3694.5
"CHAINLINK";20240301;3403.65;3350.26;3447.94;3350.26;3436.37
"CHAINLINK";20240302;3425.51;3436.37;3456.62;3404.48;3421.2
"CHAINLINK";20240303;3432.55;3421.2;3489.13;3374.67;3489.13
"CHAINLINK";20240304;3531.27;3489.13;3643.63;3449.8;3630.15
"CHAINLINK";20240305;3588.48;3630.15;3817.9;3253.45;3560.64
"CHAINLINK";20240306;3765.96;3560.64;3893.44;3514.6;3828.21
"CHAINLINK";20240307;3825.53;3828.21;3926.01;3750.32;3871.6
"CHAINLINK";20240308;3926.18;3871.6;3987.5;3839.15;3894.57
"CHAINLINK";20240309;3917.14;3894.57;3946.02;3888.53;3915.16
"CHAINLINK";20240310;3893.29;3915.16;3956.43;3765.41;3865.39
"CHAINLINK";20240311;3976.56;3886.82;4088.76;3765.41;4031.2
"CHAINLINK";20240312;3979.71;4068.0;4088.76;3833.65;4040.78
"CHAINLINK";20240313;4009.52;3977.35;4069.42;3951.19;3994.45
"CHAINLINK";20240314;3859.61;4013.36;4013.36;3635.49;3727.85
"CHAINLINK";20240315;3704.36;3881.87;3924.24;3595.44;3736.18
"CHAINLINK";20240316;3621.15;3741.36;3763.41;3487.31;3571.09
"CHAINLINK";20240317;3560.48;3521.77;3665.63;3417.87;3600.89
"CHAINLINK";20240318;3537.15;3649.54;3649.54;3372.23;3432.33
"CHAINLINK";20240319;3292.13;3523.41;3541.39;3150.04;3163.25
"CHAINLINK";20240320;3301.58;3157.71;3557.62;3061.16;3518.59
"CHAINLINK";20240321;3506.77;3512.83;3579.13;3423.81;3524.6
"CHAINLINK";20240322;3365.33;3488.93;3527.23;3256.87;3302.73
"CHAINLINK";20240323;3367.52;3322.8;3425.09;3283.2;3317.6
"CHAINLINK";20240324;3382.71;3348.95;3454.69;3317.6;3446.48
"CHAINLINK";20240325;3533.17;3452.93;3642.65;3425.21;3636.83
"CHAINLINK";20240326;3610.27;3587.63;3678.0;3549.31;3603.75
"CHAINLINK";20240327;3550.44;3590.6;3657.55;3472.62;3490.74
"CHAINLINK";20240328;3556.36;3506.44;3603.17;3473.55;3561.55
"CHAINLINK";20240329;3526.47;3561.76;3580.4;3478.2;3490.6
"CHAINLINK";20240330;3520.07;3513.79;3560.33;3489.09;3538.06
"CHAINLINK";20240331;3609.7;3509.47;3648.16;3509.47;3613.14
"CHAINLINK";20240401;3503.01;3645.95;3645.95;3332.33;3368.43
"CHAINLINK";20240402;3308.86;3505.23;3505.23;3217.92;3318.55
"CHAINLINK";20240403;3315.4;3275.34;3367.67;3221.22;3280.52
"CHAINLINK";20240404;3338.14;3316.89;3433.58;3263.51;3311.0
"CHAINLINK";20240405;3293.61;3328.82;3344.6;3228.8;3331.37
"CHAINLINK";20240406;3349.99;3321.75;3411.75;3319.46;3391.6
"CHAINLINK";20240407;3399.94;3359.71;3453.2;3358.5;3424.96
"CHAINLINK";20240101;2306.56;2280.06;2350.6;2272.24;2350.6
"CHAINLINK";20240102;2381.17;2350.6;2430.01;2350.6;2358.45
"CHAINLINK";20240103;2255.7;2358.45;2380.45;2122.26;2211.18
"CHAINLINK";20240104;2252.27;2211.18;2291.4;2207.39;2272.44
"CHAINLINK";20240105;2246.64;2272.44;2277.57;2219.28;2267.67
"CHAINLINK";20240106;2242.71;2267.67;2267.67;2222.11;2240.32
"CHAINLINK";20240107;2240.03;2240.32;2254.03;2214.7;2221.53
"CHAINLINK";20240108;2257.16;2221.53;2357.56;2181.33;2332.87
"CHAINLINK";20240109;2298.92;2332.87;2367.57;2247.61;2341.65
"CHAINLINK";20240110;2436.88;2341.65;2621.12;2341.65;2584.99
"CHAINLINK";20240111;2614.47;2584.99;2682.11;2570.19;2620.65
"CHAINLINK";20240112;2602.46;2620.65;2715.03;2463.29;2526.12
"CHAINLINK";20240113;2550.19;2526.12;2583.5;2509.2;2576.1
"CHAINLINK";20240114;2525.49;2576.1;2576.1;2469.41;2474.33
"CHAINLINK";20240115;2517.29;2474.33;2548.27;2474.33;2514.58
"CHAINLINK";20240116;2544.91;2514.58;2611.86;2506.69;2589.05
"CHAINLINK";20240117;2549.15;2589.05;2589.05;2512.06;2528.08
"CHAINLINK";20240118;2498.75;2528.08;2539.93;2435.68;2467.21
"CHAINLINK";20240119;2467.13;2467.21;2499.3;2414.74;2489.55
"CHAINLINK";20240120;2471.6;2489.55;2489.55;2456.0;2467.93
"CHAINLINK";20240121;2470.81;2467.93;2478.46;2452.79;2452.79
"CHAINLINK";20240122;2376.39;2452.79;2459.56;2303.53;2308.61
"CHAINLINK";20240123;2238.75;2308.61;2348.51;2168.98;2243.07
"CHAINLINK";20240124;2228.45;2243.07;2260.87;2201.26;2235.86
"CHAINLINK";20240125;2213.68;2235.86;2237.95;2176.83;2218.22
"CHAINLINK";20240126;2238.38;2218.22;2279.55;2195.94;2269.01
"CHAINLINK";20240127;2267.33;2269.01;2279.14;2256.76;2267.43
"CHAINLINK";20240128;2274.62;2267.43;2300.1;2247.1;2257.3
"CHAINLINK";20240129;2276.98;2257.3;2319.11;2238.34;2315.15
"CHAINLINK";20240130;2334.85;2315.15;2390.1;2300.91;2345.59
"CHAINLINK";20240131;2316.2;2345.59;2345.59;2270.85;2283.14
"CHAINLINK";20240201;2280.4;2283.14;2305.9;2246.5;2302.92
"CHAINLINK";20240202;2304.37;2302.92;2316.76;2289.31;2307.34
"CHAINLINK";20240203;2309.36;2307.34;2327.35;2295.22;2295.22
"CHAINLINK";20240204;2296.42;2295.22;2307.61;2278.84;2288.7
"CHAINLINK";20240205;2302.53;2288.7;2328.21;2279.55;2298.91
"CHAINLINK";20240206;2338.85;2298.91;2390.01;2298.91;2372.68
"CHAINLINK";20240207;2383.32;2372.68;2438.35;2355.75;2424.36
"CHAINLINK";20240208;2428.55;2424.36;2451.6;2420.1;2420.1
"CHAINLINK";20240209;2477.01;2420.1;2518.67;2420.1;2486.96
"CHAINLINK";20240210;2496.25;2486.96;2512.57;2476.89;2500.94
"CHAINLINK";20240211;2514.39;2500.94;2530.32;2495.61;2507.3
"CHAINLINK";20240212;2555.56;2507.3;2664.19;2476.01;2659.53
"CHAINLINK";20240213;2642.15;2659.53;2683.26;2600.98;2643.65
"CHAINLINK";20240214;2715.64;2643.65;2784.27;2622.62;2777.96
"CHAINLINK";20240215;2809.84;2777.96;2855.17;2766.11;2823.43
